ev_id,ev_type,ev_year,ev_time,ev_highest_injury,ev_nr_apt_loc,latitude,longitude,mid_air,on_ground_collision,light_cond,wx_cond_basic,sky_cond_ceil,sky_ceil_ht,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_vel_kts,gust_kts,wx_int_precip,altimeter
20230620192406,ACC,2023.0,557,MINR,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,NITE,VMC,NONE,0.0,416.0,59.0,36.0,0.0,7.0,0.0,UNKNOWN,0.0
20230620192407,ACC,2023.0,2202,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,UNKNOWN,0.0,416.0,77.0,32.0,360.0,3.0,14.0,UNKNOWN,0.0
20230620192408,ACC,2023.0,25,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,OVC,6000.0,416.0,61.0,43.0,280.0,5.0,0.0,UNKNOWN,0.0
20230620192409,ACC,2023.0,1900,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,66.0,45.0,190.0,6.0,0.0,UNKNOWN,0.0
20230620192410,ACC,2023.0,355,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,NITE,VMC,NONE,0.0,416.0,-1.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230621192411,ACC,2023.0,2149,NONE,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230621192412,ACC,2023.0,1807,NONE,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,84.0,59.0,70.0,9.0,0.0,UNKNOWN,0.0
20230621192413,ACC,2023.0,1351,UNKNOWN,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230621192414,ACC,2023.0,1219,FATL,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,63.0,55.0,70.0,4.0,0.0,UNKNOWN,0.0
20230621192415,ACC,2023.0,1447,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,BKN,2300.0,416.0,93.0,79.0,90.0,7.0,0.0,UNKNOWN,0.0
20230621192417,ACC,2023.0,1830,MINR,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,UNKNOWN,0.0,416.0,88.0,61.0,110.0,11.0,17.0,UNKNOWN,0.0
