ev_id;ntsb_no;ev_type;ev_date;ev_dow;ev_time;ev_tmzn;ev_city;ev_state;ev_country;ev_site_zipcode;ev_year;ev_month;mid_air;on_ground_collision;latitude;longitude;latlong_acq;apt_name;ev_nr_apt_id;ev_nr_apt_loc;apt_dist;apt_dir;apt_elev;wx_brief_comp;wx_src_iic;wx_obs_time;wx_obs_dir;wx_obs_fac_id;wx_obs_elev;wx_obs_dist;wx_obs_tmzn;light_cond;sky_cond_nonceil;sky_nonceil_ht;sky_ceil_ht;sky_cond_ceil;vis_rvr;vis_rvv;vis_sm;wx_temp;wx_dew_pt;wind_dir_deg;wind_dir_ind;wind_vel_kts;wind_vel_ind;gust_ind;gust_kts;altimeter;wx_dens_alt;wx_int_precip;metar;ev_highest_injury;inj_f_grnd;inj_m_grnd;inj_s_grnd;inj_tot_f;inj_tot_m;inj_tot_n;inj_tot_s;inj_tot_t;invest_agy;ntsb_docket;ntsb_notf_from;ntsb_notf_date;ntsb_notf_tm;fiche_number;lchg_date;lchg_userid;wx_cond_basic;faa_dist_office;dec_latitude;dec_longitude
20080123X00090;MIA08FA038;ACC;2008/1/12 00:00:00;Sa;2038;UTC;Clearwater;FL;USA;33762;2008;1;;;275447N;0824029W;EST;St Petersburg-Clearwater Int'l;KPIE;OFAP;0,00;;11;;WFAC;2035;0;PIE;11;0;UTC;DAYL;FEW;2600;0;NONE;;;10,00;79;68;210;U;11;F;T;0;29,90;;;;FATL;;;;3;0;0;0;3;N;;;;;;2020/9/25 18:04:02;;VMC;;27,91;-82,67
20080123X00091;MIA08LA041;ACC;2008/1/17 00:00:00;Th;1911;UTC;Norwood;MA;USA;2062;2008;1;;;421138N;0711040W;;Norwood Memorial Airport;OWD;ONAP;0,00;;49;;WFAC;1853;0;KOWD;49;0;UTC;DAYL;CLER;0;0;NONE;;;10,00;30;23;200;U;5;F;T;0;30,30;;;;NONE;;;;0;0;1;0;1;N;;;;;;2020/9/25 18:04:46;;VMC;;42,19;-71,17
20080123X00096;NYC08LA075;ACC;2008/1/5 00:00:00;Sa;2115;UTC;Laurel;MD;USA;20724;2008;1;;;039436N;0764940W;;Suburban Airport;W18;OFAP;0,00;;148;;WFAC;2121;80;FME;150;3;UTC;DAYL;CLER;0;0;NONE;;;10,00;39;16;140;U;4;F;T;0;30,31;;;;MINR;;;;0;1;0;0;1;N;;;;;;2020/9/25 18:06:16;;VMC;;39,07;-76,82
20080123X00098;LAX08FA047;ACC;2008/1/18 00:00:00;Fr;2200;UTC;Selma;CA;USA;93725;2008;1;;;363354N;1194326W;;Fresno Chandler Executive;KFCH;OFAP;12,00;;279;;WFAC;2153;360;KFAT;336;13;UTC;DAYL;CLER;0;0;NONE;;;5,00;55;34;290;U;3;F;T;0;30,20;;;;FATL;;;;1;0;0;0;1;N;;;;;;2020/9/25 18:06:16;;VMC;;36,56;-119,72
20080125X00103;CHI08LA071;ACC;2008/1/9 00:00:00;We;1249;UTC;Detroit;MI;USA;48242;2008;1;;;421245N;0832112W;;Detroit Metro;DTW;OFAP;1,00;;645;;WFAC;1253;270;DTW;645;1;UTC;DAYL;;0;3800;BKN;;;10,00;39;30;280;U;15;F;T;0;29,89;;;;NONE;;;;0;0;73;0;73;N;;;;;;2020/9/25 18:07:03;;VMC;;42,21;-83,35
20080125X00104;NYC08WA082;ACC;2008/1/12 00:00:00;Sa;1037;UTC;Treviso;;IT;;2008;1;;;453855N;0121143W;;;;;0,00;;;;;;0;;;0;;;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;FATL;;;;2;0;0;0;2;O;;;;;;2020/9/25 18:07:50;;;;45,64;-12,19
20080128X00108;MIA08FA044;ACC;2008/1/22 00:00:00;Tu;1734;UTC;Ochopee;FL;USA;34141;2008;1;;;255141N;0805250W;;Dade-Collier T and T Airport;KTNT;ONAP;0,00;;13;;WFAC;1653;97;KMIA;10;33;UTC;DAYL;;0;2100;BKN;;;10,00;79;64;80;U;15;F;T;0;30,20;;;;FATL;;;;2;0;0;0;2;N;;;;;;2020/9/25 18:04:02;;VMC;;25,86;-80,88
20080128X00111;DFW08FA057;ACC;2008/1/18 00:00:00;Fr;1830;UTC;San Antonio;TX;USA;78207;2008;1;;;292047N;0981740W;EST;San Antonio International;SAT;OFAP;17,00;;809;;WFAC;1804;230;SSF;577;6;UTC;DAYL;CLER;0;600;OVC;;;2,00;37;36;360;U;10;F;T;0;30,13;;;;FATL;;;;1;0;0;0;1;N;;;;;;2020/9/25 18:04:02;;IMC;;29,34;-98,29
20080129X00115;DEN08LA053;ACC;2008/1/26 00:00:00;Sa;1930;UTC;Valley Center;KS;USA;67147;2008;1;;;374957N;0972212W;;Harrison/Redbird Airfield;;OFAP;1,00;;1379;;WFAC;1950;0;AAO;;0;UTC;DAYL;CLER;0;0;NONE;;;10,00;55;16;310;U;10;F;T;0;30,12;;;;SERS;;;;0;0;0;1;1;N;;;;;;2020/9/25 18:06:16;;VMC;;37,83;-97,37
20080129X00116;DEN08LA054;ACC;2008/1/24 00:00:00;Th;2320;UTC;Rock Springs;WY;USA;82901;2008;1;;;415649N;0108586W;;;;OFAP;0,00;;;;WFAC;2354;360;RKS;;30;UTC;DAYL;CLER;0;0;NONE;;;10,00;10;1;0;U;;F;T;0;29,80;;;;NONE;;;;0;0;2;0;2;N;;;;;;2020/9/25 18:06:16;;VMC;;41,94;-108,96
20080129X00117;CHI08CA063;ACC;2008/1/12 00:00:00;Sa;2027;UTC;Newark;OH;USA;43056;2008;1;;;040148N;0822743W;;;;;0,00;;;;WFAC;1554;0;VTA;;0;;DAYL;CLER;0;0;NONE;;;10,00;43;28;0;U;0;F;F;0;30,05;;;;NONE;;;;0;0;2;0;2;N;;;;;;2020/9/25 18:04:46;;VMC;;40,02;-82,46
20080129X00119;DFW08FA056;ACC;2008/1/17 00:00:00;Th;443;UTC;Tulsa;OK;USA;74115;2008;1;;;361333N;0955322W;;Tulsa International Airport;KTUL;OFAP;2,00;;677;;WFAC;446;150;KTUL;677;1;UTC;NITE;;0;800;OVC;;;3,00;32;34;300;U;18;F;F;21;30,00;;;;FATL;;;;1;0;0;0;1;N;;;;;;2020/9/25 18:04:46;;IMC;;36,22;-95,88
20080130X00124;LAX08FA049;ACC;2008/1/20 00:00:00;Su;2334;UTC;Corona;CA;USA;92882;2008;1;Y;N;335256N;0117373W;EST;;;OFAP;0,00;;;;WFAC;2356;25;AJO;533;1;UTC;DAYL;CLER;0;0;NONE;;;10,00;61;36;270;U;7;F;T;0;29,90;;;;FATL;1;;;4;0;0;0;5;N;;;;;;2020/9/25 18:06:16;;VMC;;33,88;-117,61
20080131X00125;MIA08LA043;ACC;2008/1/20 00:00:00;Su;2130;UTC;Kissimmee;FL;USA;34741;2008;1;;;281714N;0081268W;;KISSIMMEE MUNI;ISM;ONAP;0,00;;82;;WFAC;2130;16;ORL;113;20;UTC;DAYL;CLER;0;0;NONE;;;10,00;54;37;360;U;10;F;F;14;30,32;;;;NONE;;;;0;0;3;0;3;N;;;;;;2020/9/25 18:04:46;;VMC;;28,28;-81,43
20080201X00130;LAX08FA052;ACC;2008/1/26 00:00:00;Sa;657;UTC;Los Angeles;CA;USA;90003;2008;1;;;335645N;1181647W;;;;OFAP;0,00;;;;WFAC;653;225;HHR;62;3;UTC;NITE;CLER;0;0;NONE;;;10,00;55;46;100;U;3;F;T;0;30,20;;;;FATL;;;;1;0;0;0;1;N;;;;;;2020/9/25 18:06:16;;VMC;;33,94;-118,27
20080204X00131;SEA08CA065;ACC;2008/1/8 00:00:00;Tu;2105;UTC;Riverside;CA;USA;92507;2008;1;;;335118N;1172543W;;;;OFAP;0,00;;;;WFAC;2053;360;KRAL;819;7;UTC;DAYL;;20000;20000;BKN;;;10,00;149;0;280;U;8;F;T;0;30,15;;;;NONE;;;;0;0;2;0;2;N;;;;;;2020/9/25 18:06:16;;VMC;;33,85;-117,42
20080204X00132;NYC08WA081;ACC;2008/1/16 00:00:00;We;1850;UTC;Kiteni;;PE;;2008;1;;;121128S;0073010W;;;;;0,00;;;;;;0;;;0;;;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;;;;;0;0;0;0;;O;;;;;;2020/9/25 18:07:50;;;;-12,19;-73,00
20080205X00136;DFW08LA058;ACC;2008/1/28 00:00:00;Mo;1315;UTC;Wiggins;MS;USA;39577;2008;1;;;304831N;0891129W;;;;OFAP;0,00;;;;PILO;;0;;;0;;DAYL;CLER;0;0;UNK;;;10,00;52;0;210;U;6;F;T;0;30,17;;;;NONE;;;;0;0;1;0;1;N;;;;;;2020/9/25 18:04:02;;VMC;;30,80;-89,19
20080206X00142;DFW08FA060;ACC;2008/2/2 00:00:00;Sa;2313;UTC;Lindsay;OK;USA;73052;2008;2;;;345126N;0973511W;;Lindsay Municipal;1K2;OFAP;0,00;;965;;WFAC;2350;150;PVJ;;20;UTC;DAYL;CLER;0;0;NONE;;;10,00;57;37;80;U;5;F;T;0;29,98;;;;FATL;;;;2;0;0;0;2;N;;;;;;2020/9/25 18:04:46;;VMC;;34,85;-97,58
20080207X00144;DEN08WA052;ACC;2008/1/23 00:00:00;We;1032;UTC;Cherbourg;;FR;0;2008;1;;;049448N;0001316W;;;;;0,00;;;;WFAC;1130;0;LFRC;;0;;;;0;2800;OVC;;;6,20;54;46;220;U;8;F;F;0;30,36;;;;FATL;;;;2;0;0;1;3;O;;;;;;2020/9/25 18:07:50;;VMC;;49,73;-1,51
20080207X00148;MIA08LA048;ACC;2008/1/29 00:00:00;Tu;2223;UTC;Marathon;FL;USA;33050;2008;1;;;245229N;0811348W;MEAS;The Florida Keys Marathon Arpt;MTH;OFAP;5,00;;5;;WFAC;2153;0;MTH;5;0;UTC;DAYL;CLER;0;0;NONE;;;10,00;73;54;140;U;9;F;T;0;30,04;;;;SERS;;;;0;0;0;2;2;N;;;;;;2020/9/25 18:04:02;;VMC;;24,87;-81,23
