ev_id,Aircraft_Key,crew_no,crew_category,crew_age,med_certf,med_crtf_vldty,date_lst_med,crew_rat_endorse,crew_tox_perf,pc_profession,bfr,bfr_date,ft_as_of,pilot_flying
20080206X00142,1,1,FLTI,72.0,CL2,4.0,2007/1/30 00:00:00,UNKNOWN,Y,YES,UNKNOWN,2008-01-01,0.0,
20080206X00142,1,2,PLT,53.0,CL3,4.0,2008/1/17 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2008-01-01,0.0,
20080207X00148,1,1,PLT,58.0,CL1,4.0,2007/11/15 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/9/11 00:00:00,0.0,
20080207X00150,1,1,PLT,64.0,CL3,4.0,2006/3/1 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2008-01-01,0.0,
20080207X00153,1,1,PLT,68.0,CL3,4.0,2007/11/1 00:00:00,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080208X00159,1,1,FLTI,60.0,SPRT,4.0,2008-01-01,UNKNOWN,Y,UNK,UNKNOWN,2007/11/7 00:00:00,0.0,
20080208X00159,1,2,DSTU,57.0,NONE,4.0,2008-01-01,UNKNOWN,Y,UNK,UNKNOWN,2008-01-01,0.0,
20080210X00160,1,1,PLT,21.0,NONE,4.0,2008-01-01,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
20080210X00161,1,1,PLT,37.0,CL3,4.0,2005/2/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2007/1/1 00:00:00,0.0,
20080210X00162,1,1,DSTU,39.0,CL2,4.0,2007/3/15 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
20080210X00166,1,1,PLT,81.0,CL3,4.0,2007/5/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/8/1 00:00:00,0.0,
20080211X00167,1,1,PLT,51.0,CL2,4.0,2007/8/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
20080211X00168,1,1,PLT,76.0,CL3,4.0,2008/1/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2007/4/1 00:00:00,0.0,
20080211X00169,1,1,PLT,50.0,CL2,4.0,2007/8/6 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2006/11/17 00:00:00,0.0,
20080211X00169,1,2,UNKNOWN,46.0,CL2,4.0,2006/11/9 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2001/12/11 00:00:00,0.0,
20080211X00171,1,1,PLT,45.0,CL3,4.0,2006/8/17 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2008-01-01,0.0,
20080211X00172,1,1,PLT,45.0,CL2,4.0,2004/12/6 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2005/12/13 00:00:00,0.0,
20080211X00173,1,1,PLT,61.0,CL3,4.0,2006/7/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2006/11/1 00:00:00,0.0,
20080211X00174,1,1,PLT,37.0,CL1,4.0,2005/7/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2007/6/3 00:00:00,0.0,
20080212X00177,1,1,PLT,32.0,CL2,4.0,2007/5/1 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2008-01-01,0.0,
20080212X00177,1,2,PLT,49.0,CL3,4.0,2006/5/1 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2006/9/1 00:00:00,0.0,
20080212X00178,1,1,PLT,46.0,CL1,4.0,2007/10/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/11/1 00:00:00,0.0,
20080212X00178,1,2,CPLT,41.0,CL1,4.0,2007/8/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/10/1 00:00:00,0.0,
20080213X00179,1,1,PLT,30.0,CL3,4.0,2005/12/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008/1/1 00:00:00,0.0,
20080213X00180,1,1,PLT,53.0,CL3,4.0,2007/11/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2006/12/1 00:00:00,0.0,
20080213X00181,1,1,PLT,65.0,CL2,4.0,2007/10/22 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/12/12 00:00:00,0.0,
20080213X00184,1,1,FLTI,25.0,CL1,4.0,2007/10/1 00:00:00,UNKNOWN,N,UNK,UNKNOWN,2008-01-01,0.0,
20080213X00184,1,2,DSTU,51.0,CL2,4.0,2007/3/1 00:00:00,UNKNOWN,N,UNK,UNKNOWN,2008-01-01,0.0,
20080213X00185,1,1,PLT,44.0,CL2,4.0,2008/1/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/11/1 00:00:00,0.0,
20080213X00186,1,1,PLT,60.0,CL2,4.0,2006/4/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2006/5/1 00:00:00,0.0,
20080214X00188,1,1,DSTU,57.0,CL3,4.0,2006/3/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
20080214X00192,1,1,PLT,53.0,UNKNOWN,4.0,2008-01-01,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080214X00194,1,1,PLT,31.0,CL1,4.0,2007/4/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2008-01-01,0.0,
20080214X00195,1,1,PLT,71.0,SPRT,4.0,2008-01-01,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080215X00202,1,1,PLT,51.0,CL3,4.0,2006/9/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/6/1 00:00:00,0.0,
20080219X00203,1,1,PLT,60.0,NONE,4.0,2001/6/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
